age_range,industry,job_title,annual_salary,"How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Please only include monetary compensation here, not the value of benefits.",currency,"If ""Other,"" please indicate the currency here: ",country,"If you're in the U.S., what state do you work in?",What city do you work in?,current_years_experience,How many years of professional work experience do you have in your field?,education,gender,What is your race? (Choose all that apply.)
25-34,Education,Librarian,55000,0.0,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Information Technology,Manager (General),54600,4000.0,GBP,,United Kingdom,,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White
25-34,Finance,Other,34000,,USD,,United States,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofit,Project Manager,62000,3000.0,USD,,United States,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Finance,Manager (General),60000,7000.0,USD,,United States,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Education,Librarian,62000,,USD,,United States,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
25-34,Media/Entertainment,Other,33000,2000.0,USD,,United States,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Librarian,50000,,USD,,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
45-54,Information Technology,IT/Systems,112000,10000.0,USD,,United States,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Finance,Accountant,45000,0.0,USD,,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Nonprofit,Office Manager,47500,0.0,USD,,United States,,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White
35-44,Education,Director,62000,0.0,USD,,United States,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Finance,Manager (General),100000,0.0,USD,,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White"
25-34,Legal,Other,52000,0.0,USD,,United States,Minnesota,Saint Paul,2 - 4 years,2 - 4 years,Not Specified,Woman,White
18-24,Health,Coordinator,32000,,CAD,,Canada,,Remote,1 year or less,1 year or less,College degree,Woman,White
35-44,Energy,Other,24000,500.0,GBP,,United Kingdom,,Lincoln,11 - 20 years,5-7 years,College degree,Man,White
35-44,Business/Consulting,Executive Assistant,85000,5000.0,USD,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White
45-54,Arts/Design,Graphic Designer,59000,,USD,,United States,California,Pomona,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Business/Consulting,Manager (General),98000,1000.0,USD,,United States,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Education,Director,54000,,USD,,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Health,Analyst (General),74000,0.0,USD,,United States,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofit,Coordinator,50000,,USD,,United States,,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White
35-44,Nonprofit,Other,63000,,CAD,,Canada,,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Government,Other,96000,1000.0,USD,,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
25-34,Other,Librarian,44500,0.0,USD,,United States,Florida,Bradenton,5-7 years,2 - 4 years,Not Specified,Woman,White
35-44,Education,Other,60000,0.0,USD,,United States,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White
25-34,Nonprofit,Director,62000,,USD,,United States,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,White
35-44,Legal,Bookkeeper,48000,4000.0,USD,,United States,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Government,Other,140000,,USD,,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing,Engineer (Non-software),80000,,USD,,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White
25-34,Nonprofit,Coordinator,39000,,USD,,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Media/Entertainment,Writer/Editor,125000,0.0,USD,,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Finance,Other,230000,,USD,,United States,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Finance,Manager (General),110000,15000.0,USD,,United States,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Nonprofit,HR Generalist/Manager,50000,,USD,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Education,Analyst (General),68000,0.0,USD,,United States,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White
18-24,Media/Entertainment,Other,41000,100.0,USD,,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Finance,Other,76000,10000.0,USD,,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Government,Manager (General),78000,0.0,USD,,United States,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Finance,Receptionist,37000,0.0,USD,,United States,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Engineering/Manufacturing,Engineer (Non-software),100000,50000.0,USD,,United States,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Marketing,Content/Copywriter,35000,6000.0,GBP,,United Kingdom,,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Government,Manager (General),65000,0.0,USD,,United States,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White
25-34,Information Technology,Software Engineer,187500,5000.0,USD,,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Information Technology,Analyst (General),110000,20000.0,USD,,United States,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
25-34,Nonprofit,Project Manager,66625,1500.0,USD,,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Information Technology,Other,144600,2500.0,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White
35-44,Information Technology,Director,200850,40000.0,USD,,United States,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Engineering/Manufacturing,Engineer (Non-software),120000,1500.0,CAD,,Canada,,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Retail/Sales,Manager (General),97500,10000.0,CAD,,Canada,,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education,Engineer (Non-software),96000,,USD,,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White
25-34,Education,Teacher,53000,1000.0,USD,,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White
25-34,Marketing,Manager (General),95000,10000.0,USD,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Information Technology,Coordinator,72000,3000.0,USD,,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Media/Entertainment,Writer/Editor,52000,0.0,CAD,,Canada,,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
35-44,Engineering/Manufacturing,Engineer (Non-software),106000,0.0,USD,,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Government,Other,115000,,USD,,United States,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Business/Consulting,Supervisor,100500,3000.0,USD,,United States,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Legal,Other,33200,0.0,USD,,United States,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman,White
35-44,Government,Other,52000,0.0,GBP,,United Kingdom,,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Coordinator,52000,,USD,,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Government,Other,79000,,CAD,,Canada,,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White
65 or over,Real Estate,Director,104000,25000.0,USD,,United States,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man,White
25-34,Education,Teacher,75000,,CAD,,Canada,,Ottawa,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
18-24,Biotech,Other,52000,,USD,,United States,Texas,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,White
